,blue,red,date,blue_score,red_score,winner,winner_name,blue_is_winner,year,blue_win_avg,red_win_avg,blue_won_last_match,red_won_last_match,blue_streak,red_streak,blue_winst_against,red_winst_against,blue_rolling_win_avg_5,red_rolling_win_avg_5,blue_rolling_win_avg_10,red_rolling_win_avg_10
32,Golden Guardians,100 Thieves,2019-03-03,1,0,blue,Golden Guardians,True,2019,0.36363636363636365,0.36363636363636365,False,True,1.0,0.0,0,1,0.4,0.2,0.4,0.4
31,Clutch Gaming,Echo Fox,2019-03-03,1,0,blue,Clutch Gaming,True,2019,0.2727272727272727,0.36363636363636365,False,False,0.0,0.0,1,0,0.2,0.2,0.2,0.4
27,Clutch Gaming,FlyQuest,2019-03-09,0,1,red,FlyQuest,False,2019,0.3333333333333333,0.4166666666666667,True,False,0.0,1.0,0,1,0.4,0.2,0.2,0.3
28,100 Thieves,TSM,2019-03-09,0,1,red,TSM,False,2019,0.3333333333333333,0.5833333333333334,False,False,0.0,1.0,0,1,0.2,0.8,0.4,0.6
26,Echo Fox,OpTic Gaming,2019-03-09,0,1,red,OpTic Gaming,False,2019,0.3333333333333333,0.4166666666666667,False,True,0.0,0.0,1,0,0.2,0.6,0.3,0.4
30,CLG,Golden Guardians,2019-03-09,0,1,red,Golden Guardians,False,2019,0.4166666666666667,0.4166666666666667,False,True,0.0,0.0,0,1,0.2,0.6,0.5,0.5
29,Team Liquid,Cloud9,2019-03-09,1,0,blue,Team Liquid,True,2019,0.9166666666666666,0.8333333333333334,True,True,5.0,0.0,1,0,0.8,1.0,0.9,0.9
25,Golden Guardians,Team Liquid,2019-03-10,0,1,red,Team Liquid,False,2019,0.46153846153846156,0.9230769230769231,True,True,0.0,6.0,0,1,0.6,1.0,0.6,0.9
24,Echo Fox,FlyQuest,2019-03-10,0,1,red,FlyQuest,False,2019,0.3076923076923077,0.46153846153846156,False,True,0.0,2.0,1,0,0.0,0.2,0.3,0.4
23,TSM,OpTic Gaming,2019-03-10,1,0,blue,TSM,True,2019,0.6153846153846154,0.46153846153846156,True,True,2.0,0.0,1,0,0.8,0.8,0.6,0.4
22,Cloud9,100 Thieves,2019-03-10,1,0,blue,Cloud9,True,2019,0.7692307692307693,0.3076923076923077,False,False,0.0,0.0,1,0,0.8,0.2,0.8,0.4
21,Clutch Gaming,CLG,2019-03-10,1,0,blue,Clutch Gaming,True,2019,0.3076923076923077,0.38461538461538464,False,False,0.0,0.0,0,1,0.4,0.2,0.2,0.4
